KOD_DISC,NAME_DISC,NAME_DIV
"7933","Електронні платіжні системи","Кафедра фінансів і підприємництва"
"7934","Електронні платіжні системи - КР","Кафедра фінансів і підприємництва"
"7935","Автоматизовані системи бюджетування та звітності","Кафедра фінансів і підприємництва"
"7940","Інноваційні технології управління виробничими системами","Кафедра управління"
"7941","Financial Planning","Кафедра фінансів і підприємництва"
"7942","Managerial Management","Кафедра фінансів і підприємництва"
"7944","Personal Finance","Кафедра фінансів і підприємництва"
"7945","Efficiency Management","Кафедра фінансів і підприємництва"
"7965","Основи фізичної терапії, ерготерапії","Кафедра фізичної терапії, ерготерапії та спортивної медицини"
"7966","Діяльність держави на фінансових ринках","Кафедра фінансів, банківської справи та страхування"
"7970","Маркетингові інноваційні стратегії","Кафедра маркетингу"
